id_unidad,id_empresa,placa,marca,modelo,anio_fabricacion,capacidad_asientos,tipo_servicio,estado_unidad
1,1,TAR-001,Mercedes Benz,OF-1721,2018,44,Semi-cama,Operativa
2,1,TAR-002,Volvo,B380,2020,42,Cama,Operativa
3,1,TAR-003,Scania,K410,2017,46,Semi-cama,Operativa
4,2,TAR-011,Mercedes Benz,OF-1318,2015,44,Regular,Operativa
5,2,TAR-012,Volvo,B320,2019,42,Semi-cama,Operativa
6,3,TAR-021,Scania,K360,2016,46,Cama,Operativa
7,3,TAR-022,Mercedes Benz,OF-2041,2021,44,Ejecutivo,Operativa
8,4,TAR-031,Toyota,Coaster,2018,22,Regular,Operativa
9,4,TAR-032,Toyota,Coaster,2019,22,Regular,Operativa
10,5,TAR-041,Volvo,B380,2017,44,Semi-cama,Operativa
11,5,TAR-042,Scania,K410,2020,46,Cama,Operativa
12,6,YAC-001,Hyundai,County,2016,26,Regular,Operativa
13,7,SCZ-001,Mercedes Benz,OF-1721,2019,44,Cama,Operativa
14,8,LPZ-001,Volvo,B420,2020,42,Ejecutivo,Operativa
15,10,TAR-051,Mercedes Benz,OF-1318,2014,44,Semi-cama,Mantenimiento
16,10,TAR-052,Scania,K310,2018,46,Regular,Operativa
17,11,SUC-001,Volvo,B320,2017,42,Semi-cama,Operativa
18,12,ORU-001,Mercedes Benz,OF-2041,2016,44,Regular,Operativa
19,13,TAR-061,Toyota,Hiace,2020,15,Regular,Operativa
20,15,TAR-071,Mercedes Benz,OF-1318,2015,44,Semi-cama,Operativa
